Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0499549,2011-05-03,2011-05-03,"[b][purple]Golden Globe BP Winner - 2009[/purple][/b]
[blue]Academy Award BP Nominee - 2009[/blue]",Avatar,https://www.imdb.com/title/tt0499549/,movie,7.8,162,2009,"Action, Adventure, Fantasy, Sci-Fi",1093171,2009-12-10,James Cameron
2,tt0887912,2011-05-03,2011-05-03,"[b][blue]Academy Award BP Winner - 2009[/blue][/b]
[purple]Golden Globe BP Nominee - 2009[/purple]",The Hurt Locker,https://www.imdb.com/title/tt0887912/,movie,7.6,131,2008,"Drama, Thriller, War",410397,2008-09-04,Kathryn Bigelow
3,tt0878804,2011-05-03,2011-05-03,[blue]Academy Award BP Nominee - 2009[/blue],The Blind Side,https://www.imdb.com/title/tt0878804/,movie,7.6,129,2009,"Biography, Drama, Sport",282332,2009-11-17,John Lee Hancock
4,tt1136608,2011-05-03,2011-05-03,[blue]Academy Award BP Nominee - 2009[/blue],District 9,https://www.imdb.com/title/tt1136608/,movie,7.9,112,2009,"Action, Sci-Fi, Thriller",626066,2009-08-13,Neill Blomkamp
5,tt1174732,2011-05-03,2011-05-03,[blue]Academy Award BP Nominee - 2009[/blue],An Education,https://www.imdb.com/title/tt1174732/,movie,7.3,100,2009,Drama,126083,2009-01-18,Lone Scherfig
6,tt0361748,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2009[/blue]
[purple]Golden Globe BP Nominee - 2009[/purple]",Inglourious Basterds,https://www.imdb.com/title/tt0361748/,movie,8.3,153,2009,"Adventure, Drama, War",1212645,2009-05-20,Quentin Tarantino
7,tt0929632,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2009[/blue]
[purple]Golden Globe BP Nominee - 2009[/purple]",Precious,https://www.imdb.com/title/tt0929632/,movie,7.3,110,2009,Drama,103392,2009-01-16,Lee Daniels
8,tt1019452,2011-05-03,2011-05-03,[blue]Academy Award BP Nominee - 2009[/blue],A Serious Man,https://www.imdb.com/title/tt1019452/,movie,7.0,106,2009,"Comedy, Drama",128792,2009-09-12,"Ethan Coen, Joel Coen"
9,tt1049413,2011-05-03,2011-05-03,[blue]Academy Award BP Nominee - 2009[/blue],Up,https://www.imdb.com/title/tt1049413/,movie,8.2,96,2009,"Animation, Adventure, Comedy, Family",900931,2009-05-13,"Pete Docter, Bob Peterson"
10,tt1193138,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2009[/blue]
[purple]Golden Globe BP Nominee - 2009[/purple]",Up in the Air,https://www.imdb.com/title/tt1193138/,movie,7.4,109,2009,"Comedy, Drama, Romance",311673,2009-09-05,Jason Reitman
11,tt1010048,2011-05-03,2011-05-03,"[b][blue]Academy Award BP Winner - 2008[/blue][/b]
[b][purple]Golden Globe BP Winner - 2008[/purple][/b]",Slumdog Millionaire,https://www.imdb.com/title/tt1010048/,movie,8.0,120,2008,"Drama, Romance",780352,2008-08-30,"Loveleen Tandan, Danny Boyle"
12,tt0421715,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2008[/blue]
[purple]Golden Globe BP Nominee - 2008[/purple]",The Curious Case of Benjamin Button,https://www.imdb.com/title/tt0421715/,movie,7.8,166,2008,"Drama, Fantasy, Romance",569520,2008-12-10,David Fincher
13,tt0870111,2011-05-03,2011-05-03,"[blue]Academy Award BP Nominee - 2008[/blue]
[purple]Golden Globe BP Nominee - 2008[/purple]",Frost/Nixon,https://www.imdb.com/title/tt0870111/,movie,7.7,122,2008,"Biography, Drama, History",100131,2008-10-15,Ron Howard
14,tt1013753,2011-05-03,2011-05-03,[blue]Academy Award BP Nominee - 2008[/blue],Milk,https://www.imdb.com/title/tt1013753/,movie,7.5,128,2008,"Biography, Drama",161209,2008-10-28,Gus Van Sant
